Time; DeltaTCP
1470316213,9480071067810059;3e-06
1470316213,9866108894348145;0,011046
1470316213,9866139888763428;3e-06
1470316213,9866139888763428;0
1470316213,9866149425506592;1e-06
1470316214,0225520133972168;0,0359
1470316214,0971100330352783;0,074558
1470316214,0971140861511230;4e-06
1470316214,0971159934997559;2e-06
1470316214,1197268962860107;0,022556
1470316214,1250510215759277;0,013951
1470316214,1570010185241699;0,037274
1470316214,1570041179656982;3e-06
1470316214,1862881183624268;0,004544
1470316214,1916100978851318;0,005289
1470316214,1916110515594482;1e-06
1470316214,1956009864807129;0,00399
1470316214,2262198925018311;0,030619
1470316214,2741410732269287;0,003259
1470316214,2754719257354736;0,001331
1470316214,2901170253753662;0,014623
1470316214,2901189327239990;0,007589
1470316214,3633329868316650;0,073216
1470316214,3646650314331055;0,001308
1470316214,3646669387817383;2e-06
1470316214,4059329032897949;0,016303
1470316214,4059350490570068;2e-06
1470316214,4059360027313232;1e-06
1470316214,4059369564056396;1e-06
1470316214,4205739498138428;0,014391
1470316214,4205760955810547;2e-06
1470316214,4205770492553711;1e-06
1470316214,4219069480895996;0,001302
1470316214,4219090938568115;2e-06
1470316214,4219110012054443;2e-06
1470316214,4219129085540771;2e-06
1470316214,4219160079956055;3e-06
1470316214,4232358932495117;0,001294
1470316214,4232380390167236;2e-06
1470316214,4671640396118164;0,043902
1470316214,4818079471588135;0,00372
1470316214,4818100929260254;2e-06
1470316214,4858019351959229;0,003992
1470316214,4858028888702393;1e-06
1470316214,4884610176086426;0,002781
1470316214,5070979595184326;0,021295
1470316214,5683391094207764;0,061241
1470316214,5723268985748291;0,003953
1470316214,6322319507598877;0,0365
1470316214,6335670948028564;0,001113
1470316214,6335690021514893;2e-06
1470316214,6335709095001221;2e-06
1470316214,6415541172027588;0,007951
1470316214,6415550708770752;1e-06
1470316214,6415560245513916;1e-06
1470316214,6735019683837891;0,031946
1470316214,6774899959564209;0,004193
1470316214,7334160804748535;0,059914
1470316214,7334198951721191;4e-06
1470316214,7334220409393311;2e-06
1470316214,7493770122528076;0,015905
1470316214,8106110095977783;0,003931
1470316214,8199300765991211;0,009093
1470316214,8199310302734375;1e-06
1470316214,8199319839477539;1e-06
1470316214,8252520561218262;0,00532
1470316214,8265841007232666;0,001332
1470316214,8265860080718994;2e-06
1470316214,8532071113586426;0,026596
1470316214,8651869297027588;0,0055
1470316214,8904790878295898;0,037272
1470316214,8918099403381348;0,001308
1470316214,9091219902038574;0,017312
1470316214,9091238975524902;2e-06
1470316214,9091260433197021;2e-06
1470316214,9091279506683350;2e-06
1470316214,9091300964355469;2e-06
1470316214,9091310501098633;1e-06
1470316214,9091339111328125;3e-06
1470316214,9091360569000244;2,90358
1470316214,9330799579620361;0,0239
1470316214,9330830574035645;3e-06
1470316214,9597020149230957;0,026591
1470316215,0222780704498291;0,00485
1470316215,0249300003051758;0,002652
1470316215,0302569866180420;0,005236
1470316215,0302588939666748;2e-06
1470316215,0302610397338867;2e-06
1470316215,0382421016693115;0,007951
1470316215,0382430553436279;1e-06
1470316215,0422339439392090;0,003991
1470316215,0422348976135254;1e-06
1470316215,0515589714050293;0,009324
1470316215,0981469154357910;0,016638
1470316215,1287679672241211;0,077209
1470316215,1327569484710693;0,003947
1470316215,1327590942382812;2e-06
1470316215,1979908943176270;0,065207
1470316215,1979930400848389;2e-06
1470316215,1979939937591553;1e-06
1470316215,2325971126556396;0,007463
1470316215,2325990200042725;2e-06
1470316215,2325999736785889;1e-06
1470316215,2725288867950439;0,004608
1470316215,2978229522705078;0,065223
1470316215,2978260517120361;3e-06
1470316215,3177909851074219;0,013239
1470316215,3177919387817383;1e-06
1470316215,3537330627441406;0,013932
1470316215,3537349700927734;2e-06
1470316215,3550660610198975;0,001303
1470316215,3550679683685303;2e-06
1470316215,3550689220428467;1e-06
1470316215,3550710678100586;2e-06
1470316215,3949999809265137;0,039902
1470316215,3950018882751465;2e-06
1470316215,4069800376892090;0,011929
1470316215,4069819450378418;2e-06
1470316215,4109709262847900;0,003951
1470316215,4109730720520020;2e-06
1470316215,4229609966278076;0,011945
1470316215,4615569114685059;0,005929
1470316215,4668819904327393;0,0406
1470316215,4668838977813721;2e-06
1470316215,4948379993438721;0,027927
1470316215,5241239070892334;0,015342
1470316215,5640621185302734;0,039909
1470316215,5640640258789062;2e-06
1470316215,5933489799499512;0,001006
1470316215,5960121154785156;0,002663
1470316215,6359410285949707;0,004499
1470316215,6705551147460938;0,011016
1470316215,6732220649719238;0,000467
1470316215,6732308864593506;9e-06
1470316215,6812140941619873;0,00684
1470316215,6812150478363037;1e-06
1470316215,7304599285125732;0,009832
1470316215,7597510814666748;0,029291
1470316215,7597529888153076;2e-06
1470316215,7890300750732422;0,029233
1470316215,8276429176330566;0,033977
1470316215,8276460170745850;3e-06
1470316215,8276491165161133;3e-06
1470316215,8276510238647461;2e-06
1470316215,8276529312133789;2e-06
1470316215,8276550769805908;2e-06
1470316215,8276569843292236;2e-06
1470316215,8276588916778564;2e-06
1470316215,8276610374450684;2e-06
1470316215,8276629447937012;2e-06
1470316215,8329570293426514;0,003481
1470316215,8609120845794678;0,01087
1470316215,8715629577636719;0,010651
1470316215,9008491039276123;0,021997
1470316215,9301350116729736;0,004701
1470316215,9966959953308105;0,066561
1470316215,9966990947723389;3e-06
1470316215,9993560314178467;0,002628
1470316216,0299739837646484;0,030618
1470316216,0313029289245605;0,001305
1470316216,0392899513244629;0,005716
1470316216,0579280853271484;0,003346
1470316216,1005260944366455;0,042569
1470316216,1125059127807617;0,006803
1470316216,1271519660949707;0,014646
1470316216,1271541118621826;2e-06
1470316216,1537740230560303;0,026589
1470316216,2070209980010986;0,003503
1470316216,2376410961151123;0,083867
1470316216,2376430034637451;2e-06
1470316216,2376470565795898;4e-06
1470316216,2576060295104980;0,019927
1470316216,2855629920959473;0,002989
1470316216,2868990898132324;0,001301
1470316216,2869019508361816;3e-06
1470316216,2869069576263428;5e-06
1470316216,2869100570678711;3e-06
